iteration,pid,technique,num_targets,target_w,target_d,latency_ms,target_id,step,click_x,click_y,target_x,target_y,success,mt_ms,timestamp
1,3,mouse,9,40,400,0,0,0,504.0,593.0,500.0,600.0,1,1401,1782742838697
1,3,mouse,9,40,400,0,5,1,567.0,216.0,568.4,212.1,1,960,1782742839657
1,3,mouse,9,40,400,0,1,2,375.0,550.0,371.4,553.2,1,757,1782742840414
1,3,mouse,9,40,400,0,6,3,676.0,297.0,673.2,300.0,1,848,1782742841262
1,3,mouse,9,40,400,0,2,4,331.0,431.0,303.0,434.7,0,914,1782742842176
1,3,mouse,9,40,400,0,2,4,317.0,431.0,303.0,434.7,1,1305,1782742842567
1,3,mouse,9,40,400,0,7,5,704.0,432.0,697.0,434.7,1,1012,1782742843579
1,3,mouse,9,40,400,0,3,6,327.0,301.0,326.8,300.0,1,885,1782742844464
1,3,mouse,9,40,400,0,8,7,629.0,554.0,628.6,553.2,1,945,1782742845409
1,3,mouse,9,40,400,0,4,8,438.0,219.0,431.6,212.1,1,1102,1782742846511
2,3,mouse,9,40,400,0,0,0,499.0,591.0,500.0,600.0,1,1028,1782742847539
2,3,mouse,9,40,400,0,5,1,572.0,210.0,568.4,212.1,1,990,1782742848529
2,3,mouse,9,40,400,0,1,2,378.0,558.0,371.4,553.2,1,1373,1782742849902
2,3,mouse,9,40,400,0,6,3,672.0,306.0,673.2,300.0,1,863,1782742850765
2,3,mouse,9,40,400,0,2,4,301.0,435.0,303.0,434.7,1,876,1782742851641
2,3,mouse,9,40,400,0,7,5,694.0,422.0,697.0,434.7,1,1074,1782742852715
2,3,mouse,9,40,400,0,3,6,338.0,299.0,326.8,300.0,1,786,1782742853501
2,3,mouse,9,40,400,0,8,7,616.0,553.0,628.6,553.2,1,901,1782742854402
2,3,mouse,9,40,400,0,4,8,422.0,200.0,431.6,212.1,1,975,1782742855377
3,3,mouse,9,40,400,0,0,0,510.0,593.0,500.0,600.0,1,855,1782742856232
3,3,mouse,9,40,400,0,5,1,565.0,220.0,568.4,212.1,1,862,1782742857094
3,3,mouse,9,40,400,0,1,2,368.0,555.0,371.4,553.2,1,968,1782742858062
3,3,mouse,9,40,400,0,6,3,671.0,288.0,673.2,300.0,1,1087,1782742859149
3,3,mouse,9,40,400,0,2,4,295.0,445.0,303.0,434.7,1,841,1782742859990
3,3,mouse,9,40,400,0,7,5,689.0,431.0,697.0,434.7,1,1192,1782742861182
3,3,mouse,9,40,400,0,3,6,322.0,300.0,326.8,300.0,1,839,1782742862021
3,3,mouse,9,40,400,0,8,7,625.0,553.0,628.6,553.2,1,953,1782742862974
3,3,mouse,9,40,400,0,4,8,431.0,205.0,431.6,212.1,1,1081,1782742864055
