iteration,pid,technique,num_targets,target_w,target_d,latency_ms,target_id,step,click_x,click_y,target_x,target_y,success,mt_ms,timestamp
1,4,touchpad,9,60,250,0,0,0,500.0,521.0,500.0,525.0,1,1476,1782893996440
1,4,touchpad,9,60,250,0,5,1,540.0,282.0,542.8,282.5,1,1353,1782893997793
1,4,touchpad,9,60,250,0,1,2,406.0,507.0,419.7,495.8,1,1075,1782893998868
1,4,touchpad,9,60,250,0,6,3,629.0,328.0,608.3,337.5,1,822,1782893999690
1,4,touchpad,9,60,250,0,2,4,362.0,423.0,376.9,421.7,1,1011,1782894000701
1,4,touchpad,9,60,250,0,7,5,632.0,411.0,623.1,421.7,1,810,1782894001511
1,4,touchpad,9,60,250,0,3,6,386.0,332.0,391.7,337.5,1,646,1782894002157
1,4,touchpad,9,60,250,0,8,7,582.0,523.0,580.3,495.8,1,694,1782894002851
1,4,touchpad,9,60,250,0,4,8,467.0,268.0,457.2,282.5,1,809,1782894003660
2,4,touchpad,9,60,250,0,0,0,510.0,535.0,500.0,525.0,1,670,1782894004330
2,4,touchpad,9,60,250,0,5,1,552.0,276.0,542.8,282.5,1,709,1782894005039
2,4,touchpad,9,60,250,0,1,2,422.0,511.0,419.7,495.8,1,707,1782894005746
2,4,touchpad,9,60,250,0,6,3,606.0,332.0,608.3,337.5,1,746,1782894006492
2,4,touchpad,9,60,250,0,2,4,372.0,423.0,376.9,421.7,1,809,1782894007301
2,4,touchpad,9,60,250,0,7,5,629.0,400.0,623.1,421.7,1,810,1782894008111
2,4,touchpad,9,60,250,0,3,6,370.0,323.0,391.7,337.5,1,720,1782894008831
2,4,touchpad,9,60,250,0,8,7,568.0,503.0,580.3,495.8,1,759,1782894009590
2,4,touchpad,9,60,250,0,4,8,455.0,265.0,457.2,282.5,1,708,1782894010298
3,4,touchpad,9,60,250,0,0,0,507.0,522.0,500.0,525.0,1,669,1782894010967
3,4,touchpad,9,60,250,0,5,1,542.0,255.0,542.8,282.5,1,719,1782894011686
3,4,touchpad,9,60,250,0,1,2,421.0,494.0,419.7,495.8,1,659,1782894012345
3,4,touchpad,9,60,250,0,6,3,611.0,345.0,608.3,337.5,1,822,1782894013167
3,4,touchpad,9,60,250,0,2,4,380.0,427.0,376.9,421.7,1,746,1782894013913
3,4,touchpad,9,60,250,0,7,5,637.0,444.0,623.1,421.7,1,759,1782894014672
3,4,touchpad,9,60,250,0,3,6,392.0,340.0,391.7,337.5,1,770,1782894015442
3,4,touchpad,9,60,250,0,8,7,571.0,502.0,580.3,495.8,1,645,1782894016087
3,4,touchpad,9,60,250,0,4,8,452.0,253.0,457.2,282.5,0,810,1782894016897
3,4,touchpad,9,60,250,0,4,8,469.0,286.0,457.2,282.5,1,1606,1782894017693
