iteration,pid,technique,num_targets,target_w,target_d,latency_ms,target_id,step,click_x,click_y,target_x,target_y,success,mt_ms,timestamp
1,4,touchpad,9,60,400,0,0,0,518.0,584.0,500.0,600.0,1,1648,1782893929410
1,4,touchpad,9,60,400,0,5,1,581.0,191.0,568.4,212.1,1,1453,1782893930863
1,4,touchpad,9,60,400,0,1,2,379.0,570.0,371.4,553.2,1,1074,1782893931937
1,4,touchpad,9,60,400,0,6,3,688.0,295.0,673.2,300.0,1,997,1782893932934
1,4,touchpad,9,60,400,0,2,4,319.0,438.0,303.0,434.7,1,935,1782893933869
1,4,touchpad,9,60,400,0,7,5,707.0,412.0,697.0,434.7,1,910,1782893934779
1,4,touchpad,9,60,400,0,3,6,338.0,296.0,326.8,300.0,1,1074,1782893935853
1,4,touchpad,9,60,400,0,8,7,618.0,539.0,628.6,553.2,1,923,1782893936776
1,4,touchpad,9,60,400,0,4,8,427.0,221.0,431.6,212.1,1,1062,1782893937838
2,4,touchpad,9,60,400,0,0,0,504.0,594.0,500.0,600.0,1,972,1782893938810
2,4,touchpad,9,60,400,0,5,1,566.0,200.0,568.4,212.1,1,974,1782893939784
2,4,touchpad,9,60,400,0,1,2,355.0,555.0,371.4,553.2,1,897,1782893940681
2,4,touchpad,9,60,400,0,6,3,692.0,295.0,673.2,300.0,1,1061,1782893941742
2,4,touchpad,9,60,400,0,2,4,317.0,437.0,303.0,434.7,1,1011,1782893942753
2,4,touchpad,9,60,400,0,7,5,696.0,430.0,697.0,434.7,1,1022,1782893943775
2,4,touchpad,9,60,400,0,3,6,319.0,293.0,326.8,300.0,1,872,1782893944647
2,4,touchpad,9,60,400,0,8,7,627.0,567.0,628.6,553.2,1,846,1782893945493
2,4,touchpad,9,60,400,0,4,8,428.0,208.0,431.6,212.1,1,795,1782893946288
3,4,touchpad,9,60,400,0,0,0,502.0,618.0,500.0,600.0,1,897,1782893947185
3,4,touchpad,9,60,400,0,5,1,564.0,212.0,568.4,212.1,1,963,1782893948148
3,4,touchpad,9,60,400,0,1,2,356.0,556.0,371.4,553.2,1,705,1782893948853
3,4,touchpad,9,60,400,0,6,3,683.0,287.0,673.2,300.0,1,896,1782893949749
3,4,touchpad,9,60,400,0,2,4,305.0,425.0,303.0,434.7,1,808,1782893950557
3,4,touchpad,9,60,400,0,7,5,711.0,426.0,697.0,434.7,1,911,1782893951468
3,4,touchpad,9,60,400,0,3,6,331.0,290.0,326.8,300.0,1,857,1782893952325
3,4,touchpad,9,60,400,0,8,7,632.0,577.0,628.6,553.2,1,767,1782893953092
3,4,touchpad,9,60,400,0,4,8,450.0,194.0,431.6,212.1,1,813,1782893953905
