iteration,pid,technique,num_targets,target_w,target_d,latency_ms,target_id,step,click_x,click_y,target_x,target_y,success,mt_ms,timestamp
1,3,touchpad,9,40,400,0,0,0,494.0,602.0,500.0,600.0,1,1497,1782742534278
1,3,touchpad,9,40,400,0,5,1,565.0,217.0,568.4,212.1,1,1129,1782742535407
1,3,touchpad,9,40,400,0,1,2,366.0,551.0,371.4,553.2,1,1206,1782742536613
1,3,touchpad,9,40,400,0,6,3,672.0,309.0,673.2,300.0,1,1292,1782742537905
1,3,touchpad,9,40,400,0,2,4,306.0,439.0,303.0,434.7,1,1222,1782742539127
1,3,touchpad,9,40,400,0,7,5,697.0,431.0,697.0,434.7,1,1036,1782742540163
1,3,touchpad,9,40,400,0,3,6,322.0,298.0,326.8,300.0,1,1113,1782742541276
1,3,touchpad,9,40,400,0,8,7,627.0,546.0,628.6,553.2,1,1378,1782742542654
1,3,touchpad,9,40,400,0,4,8,438.0,210.0,431.6,212.1,1,1035,1782742543689
2,3,touchpad,9,40,400,0,0,0,505.0,601.0,500.0,600.0,1,1400,1782742545089
2,3,touchpad,9,40,400,0,5,1,565.0,218.0,568.4,212.1,1,1014,1782742546103
2,3,touchpad,9,40,400,0,1,2,376.0,558.0,371.4,553.2,1,1115,1782742547218
2,3,touchpad,9,40,400,0,6,3,671.0,303.0,673.2,300.0,1,1113,1782742548331
2,3,touchpad,9,40,400,0,2,4,305.0,443.0,303.0,434.7,1,1185,1782742549516
2,3,touchpad,9,40,400,0,7,5,695.0,448.0,697.0,434.7,1,1142,1782742550658
2,3,touchpad,9,40,400,0,3,6,336.0,307.0,326.8,300.0,1,1257,1782742551915
2,3,touchpad,9,40,400,0,8,7,638.0,546.0,628.6,553.2,1,1200,1782742553115
2,3,touchpad,9,40,400,0,4,8,432.0,214.0,431.6,212.1,1,1077,1782742554192
3,3,touchpad,9,40,400,0,0,0,493.0,598.0,500.0,600.0,1,1094,1782742555286
3,3,touchpad,9,40,400,0,5,1,566.0,218.0,568.4,212.1,1,1055,1782742556341
3,3,touchpad,9,40,400,0,1,2,382.0,545.0,371.4,553.2,1,1122,1782742557463
3,3,touchpad,9,40,400,0,6,3,671.0,300.0,673.2,300.0,1,1000,1782742558463
3,3,touchpad,9,40,400,0,2,4,303.0,439.0,303.0,434.7,1,1185,1782742559648
3,3,touchpad,9,40,400,0,7,5,697.0,435.0,697.0,434.7,1,1278,1782742560926
3,3,touchpad,9,40,400,0,3,6,336.0,305.0,326.8,300.0,1,1128,1782742562054
3,3,touchpad,9,40,400,0,8,7,628.0,552.0,628.6,553.2,1,1556,1782742563610
3,3,touchpad,9,40,400,0,4,8,422.0,206.0,431.6,212.1,1,1621,1782742565231
