iteration,pid,technique,num_targets,target_w,target_d,latency_ms,target_id,step,click_x,click_y,target_x,target_y,success,mt_ms,timestamp
1,1,mouse,9,60,400,0,0,0,511.0,609.0,500.0,600.0,1,1853,1782578996923
1,1,mouse,9,60,400,0,5,1,559.0,222.0,568.4,212.1,1,677,1782578997600
1,1,mouse,9,60,400,0,1,2,374.0,546.0,371.4,553.2,1,746,1782578998346
1,1,mouse,9,60,400,0,6,3,689.0,275.0,673.2,300.0,1,671,1782578999017
1,1,mouse,9,60,400,0,2,4,308.0,417.0,303.0,434.7,1,860,1782578999877
1,1,mouse,9,60,400,0,7,5,711.0,439.0,697.0,434.7,1,806,1782579000683
1,1,mouse,9,60,400,0,3,6,323.0,290.0,326.8,300.0,1,701,1782579001384
1,1,mouse,9,60,400,0,8,7,633.0,544.0,628.6,553.2,1,594,1782579001978
1,1,mouse,9,60,400,0,4,8,442.0,203.0,431.6,212.1,1,788,1782579002766
2,1,mouse,9,60,400,0,0,0,507.0,628.0,500.0,600.0,1,709,1782579003475
2,1,mouse,9,60,400,0,5,1,577.0,205.0,568.4,212.1,1,731,1782579004206
2,1,mouse,9,60,400,0,1,2,376.0,559.0,371.4,553.2,1,730,1782579004936
2,1,mouse,9,60,400,0,6,3,656.0,292.0,673.2,300.0,1,776,1782579005712
2,1,mouse,9,60,400,0,2,4,281.0,424.0,303.0,434.7,1,752,1782579006464
2,1,mouse,9,60,400,0,7,5,707.0,449.0,697.0,434.7,1,771,1782579007235
2,1,mouse,9,60,400,0,3,6,327.0,293.0,326.8,300.0,1,726,1782579007961
2,1,mouse,9,60,400,0,8,7,628.0,562.0,628.6,553.2,1,688,1782579008649
2,1,mouse,9,60,400,0,4,8,442.0,214.0,431.6,212.1,1,735,1782579009384
3,1,mouse,9,60,400,0,0,0,506.0,589.0,500.0,600.0,1,707,1782579010091
3,1,mouse,9,60,400,0,5,1,563.0,213.0,568.4,212.1,1,752,1782579010843
3,1,mouse,9,60,400,0,1,2,360.0,576.0,371.4,553.2,1,829,1782579011672
3,1,mouse,9,60,400,0,6,3,662.0,303.0,673.2,300.0,1,750,1782579012422
3,1,mouse,9,60,400,0,2,4,301.0,420.0,303.0,434.7,1,628,1782579013050
3,1,mouse,9,60,400,0,7,5,704.0,428.0,697.0,434.7,1,891,1782579013941
3,1,mouse,9,60,400,0,3,6,313.0,303.0,326.8,300.0,1,671,1782579014612
3,1,mouse,9,60,400,0,8,7,629.0,562.0,628.6,553.2,1,704,1782579015316
3,1,mouse,9,60,400,0,4,8,427.0,198.0,431.6,212.1,1,754,1782579016070
