iteration,pid,technique,num_targets,target_w,target_d,latency_ms,target_id,step,click_x,click_y,target_x,target_y,success,mt_ms,timestamp
1,1,mouse,9,60,250,150,0,0,496.0,534.0,500.0,525.0,1,1814,1782580032414
1,1,mouse,9,60,250,150,5,1,531.0,264.0,542.8,282.5,1,1048,1782580033462
1,1,mouse,9,60,250,150,1,2,425.0,479.0,419.7,495.8,1,1043,1782580034505
1,1,mouse,9,60,250,150,6,3,619.0,313.0,608.3,337.5,1,1098,1782580035603
1,1,mouse,9,60,250,150,2,4,351.0,408.0,376.9,421.7,1,1258,1782580036861
1,1,mouse,9,60,250,150,7,5,644.0,400.0,623.1,421.7,0,1274,1782580038135
1,1,mouse,9,60,250,150,7,5,627.0,407.0,623.1,421.7,1,1911,1782580038772
1,1,mouse,9,60,250,150,3,6,364.0,348.0,391.7,337.5,1,1023,1782580039795
1,1,mouse,9,60,250,150,8,7,588.0,491.0,580.3,495.8,1,1158,1782580040953
1,1,mouse,9,60,250,150,4,8,456.0,297.0,457.2,282.5,1,1149,1782580042102
2,1,mouse,9,60,250,150,0,0,496.0,519.0,500.0,525.0,1,911,1782580043013
2,1,mouse,9,60,250,150,5,1,532.0,278.0,542.8,282.5,1,1041,1782580044054
2,1,mouse,9,60,250,150,1,2,414.0,495.0,419.7,495.8,1,947,1782580045001
2,1,mouse,9,60,250,150,6,3,610.0,338.0,608.3,337.5,1,1104,1782580046105
2,1,mouse,9,60,250,150,2,4,380.0,414.0,376.9,421.7,1,1073,1782580047178
2,1,mouse,9,60,250,150,7,5,626.0,396.0,623.1,421.7,1,1152,1782580048330
2,1,mouse,9,60,250,150,3,6,390.0,326.0,391.7,337.5,1,1236,1782580049566
2,1,mouse,9,60,250,150,8,7,580.0,494.0,580.3,495.8,1,1047,1782580050613
2,1,mouse,9,60,250,150,4,8,439.0,275.0,457.2,282.5,1,961,1782580051574
3,1,mouse,9,60,250,150,0,0,521.0,542.0,500.0,525.0,1,900,1782580052474
3,1,mouse,9,60,250,150,5,1,527.0,256.0,542.8,282.5,0,1038,1782580053512
3,1,mouse,9,60,250,150,5,1,528.0,266.0,542.8,282.5,1,1580,1782580054054
3,1,mouse,9,60,250,150,1,2,393.0,512.0,419.7,495.8,0,1038,1782580055092
3,1,mouse,9,60,250,150,1,2,410.0,498.0,419.7,495.8,1,1648,1782580055702
3,1,mouse,9,60,250,150,6,3,626.0,329.0,608.3,337.5,1,965,1782580056667
3,1,mouse,9,60,250,150,2,4,377.0,408.0,376.9,421.7,1,1547,1782580058214
3,1,mouse,9,60,250,150,7,5,639.0,418.0,623.1,421.7,1,1142,1782580059356
3,1,mouse,9,60,250,150,3,6,392.0,363.0,391.7,337.5,1,1193,1782580060549
3,1,mouse,9,60,250,150,8,7,568.0,479.0,580.3,495.8,1,962,1782580061511
3,1,mouse,9,60,250,150,4,8,467.0,292.0,457.2,282.5,1,1326,1782580062837
