iteration,pid,technique,num_targets,target_w,target_d,latency_ms,target_id,step,click_x,click_y,target_x,target_y,success,mt_ms,timestamp
1,3,touchpad,9,60,250,0,0,0,493.0,507.0,500.0,525.0,1,1353,1782742666560
1,3,touchpad,9,60,250,0,5,1,541.0,280.0,542.8,282.5,1,842,1782742667402
1,3,touchpad,9,60,250,0,1,2,428.0,480.0,419.7,495.8,1,1064,1782742668466
1,3,touchpad,9,60,250,0,6,3,605.0,328.0,608.3,337.5,1,756,1782742669222
1,3,touchpad,9,60,250,0,2,4,370.0,425.0,376.9,421.7,1,999,1782742670221
1,3,touchpad,9,60,250,0,7,5,621.0,418.0,623.1,421.7,1,1043,1782742671264
1,3,touchpad,9,60,250,0,3,6,401.0,344.0,391.7,337.5,1,906,1782742672170
1,3,touchpad,9,60,250,0,8,7,578.0,499.0,580.3,495.8,1,1000,1782742673170
1,3,touchpad,9,60,250,0,4,8,458.0,289.0,457.2,282.5,1,907,1782742674077
2,3,touchpad,9,60,250,0,0,0,502.0,519.0,500.0,525.0,1,992,1782742675069
2,3,touchpad,9,60,250,0,5,1,531.0,284.0,542.8,282.5,1,1055,1782742676124
2,3,touchpad,9,60,250,0,1,2,426.0,493.0,419.7,495.8,1,972,1782742677096
2,3,touchpad,9,60,250,0,6,3,605.0,341.0,608.3,337.5,1,870,1782742677966
2,3,touchpad,9,60,250,0,2,4,393.0,425.0,376.9,421.7,1,978,1782742678944
2,3,touchpad,9,60,250,0,7,5,618.0,423.0,623.1,421.7,1,1020,1782742679964
2,3,touchpad,9,60,250,0,3,6,394.0,335.0,391.7,337.5,1,978,1782742680942
2,3,touchpad,9,60,250,0,8,7,591.0,503.0,580.3,495.8,1,985,1782742681927
2,3,touchpad,9,60,250,0,4,8,460.0,293.0,457.2,282.5,1,949,1782742682876
3,3,touchpad,9,60,250,0,0,0,508.0,527.0,500.0,525.0,1,1021,1782742683897
3,3,touchpad,9,60,250,0,5,1,541.0,290.0,542.8,282.5,1,908,1782742684805
3,3,touchpad,9,60,250,0,1,2,414.0,491.0,419.7,495.8,1,1034,1782742685839
3,3,touchpad,9,60,250,0,6,3,610.0,327.0,608.3,337.5,1,942,1782742686781
3,3,touchpad,9,60,250,0,2,4,370.0,426.0,376.9,421.7,1,1164,1782742687945
3,3,touchpad,9,60,250,0,7,5,613.0,426.0,623.1,421.7,1,885,1782742688830
3,3,touchpad,9,60,250,0,3,6,401.0,343.0,391.7,337.5,1,763,1782742689593
3,3,touchpad,9,60,250,0,8,7,596.0,509.0,580.3,495.8,1,994,1782742690587
3,3,touchpad,9,60,250,0,4,8,464.0,293.0,457.2,282.5,1,855,1782742691442
