iteration,pid,technique,num_targets,target_w,target_d,latency_ms,target_id,step,click_x,click_y,target_x,target_y,success,mt_ms,timestamp
1,3,mouse,9,90,400,150,0,0,484.0,601.0,500.0,600.0,1,2007,1782742388246
1,3,mouse,9,90,400,150,5,1,559.0,231.0,568.4,212.1,1,1396,1782742389642
1,3,mouse,9,90,400,150,1,2,379.0,522.0,371.4,553.2,1,997,1782742390639
1,3,mouse,9,90,400,150,6,3,656.0,286.0,673.2,300.0,1,1267,1782742391906
1,3,mouse,9,90,400,150,2,4,245.0,448.0,303.0,434.7,0,758,1782742392664
1,3,mouse,9,90,400,150,2,4,279.0,449.0,303.0,434.7,1,1456,1782742393362
1,3,mouse,9,90,400,150,7,5,672.0,418.0,697.0,434.7,1,1073,1782742394435
1,3,mouse,9,90,400,150,3,6,320.0,323.0,326.8,300.0,1,1417,1782742395852
1,3,mouse,9,90,400,150,8,7,613.0,551.0,628.6,553.2,1,1515,1782742397367
1,3,mouse,9,90,400,150,4,8,425.0,234.0,431.6,212.1,1,983,1782742398350
2,3,mouse,9,90,400,150,0,0,482.0,579.0,500.0,600.0,1,1109,1782742399459
2,3,mouse,9,90,400,150,5,1,560.0,239.0,568.4,212.1,1,1050,1782742400509
2,3,mouse,9,90,400,150,1,2,389.0,528.0,371.4,553.2,1,1185,1782742401694
2,3,mouse,9,90,400,150,6,3,666.0,298.0,673.2,300.0,1,735,1782742402429
2,3,mouse,9,90,400,150,2,4,333.0,424.0,303.0,434.7,1,772,1782742403201
2,3,mouse,9,90,400,150,7,5,694.0,436.0,697.0,434.7,1,1186,1782742404387
2,3,mouse,9,90,400,150,3,6,350.0,293.0,326.8,300.0,1,1177,1782742405564
2,3,mouse,9,90,400,150,8,7,626.0,548.0,628.6,553.2,1,1035,1782742406599
2,3,mouse,9,90,400,150,4,8,442.0,213.0,431.6,212.1,1,1058,1782742407657
3,3,mouse,9,90,400,150,0,0,496.0,585.0,500.0,600.0,1,975,1782742408632
3,3,mouse,9,90,400,150,5,1,566.0,228.0,568.4,212.1,1,885,1782742409517
3,3,mouse,9,90,400,150,1,2,394.0,536.0,371.4,553.2,1,1169,1782742410686
3,3,mouse,9,90,400,150,6,3,691.0,281.0,673.2,300.0,1,818,1782742411504
3,3,mouse,9,90,400,150,2,4,271.0,463.0,303.0,434.7,1,1628,1782742413132
3,3,mouse,9,90,400,150,7,5,671.0,441.0,697.0,434.7,1,1229,1782742414361
3,3,mouse,9,90,400,150,3,6,309.0,320.0,326.8,300.0,1,1006,1782742415367
3,3,mouse,9,90,400,150,8,7,633.0,581.0,628.6,553.2,1,922,1782742416289
3,3,mouse,9,90,400,150,4,8,454.0,199.0,431.6,212.1,1,1005,1782742417294
