iteration,pid,technique,num_targets,target_w,target_d,latency_ms,target_id,step,click_x,click_y,target_x,target_y,success,mt_ms,timestamp
1,3,mouse,9,60,250,150,0,0,497.0,541.0,500.0,525.0,1,2124,1782742438287
1,3,mouse,9,60,250,150,5,1,536.0,297.0,542.8,282.5,1,1035,1782742439322
1,3,mouse,9,60,250,150,1,2,429.0,483.0,419.7,495.8,1,1260,1782742440582
1,3,mouse,9,60,250,150,6,3,591.0,349.0,608.3,337.5,1,1103,1782742441685
1,3,mouse,9,60,250,150,2,4,391.0,432.0,376.9,421.7,1,1185,1782742442870
1,3,mouse,9,60,250,150,7,5,624.0,402.0,623.1,421.7,1,997,1782742443867
1,3,mouse,9,60,250,150,3,6,395.0,333.0,391.7,337.5,1,1350,1782742445217
1,3,mouse,9,60,250,150,8,7,585.0,513.0,580.3,495.8,1,863,1782742446080
1,3,mouse,9,60,250,150,4,8,467.0,286.0,457.2,282.5,1,1342,1782742447422
2,3,mouse,9,60,250,150,0,0,495.0,521.0,500.0,525.0,1,1207,1782742448629
2,3,mouse,9,60,250,150,5,1,552.0,295.0,542.8,282.5,1,1005,1782742449634
2,3,mouse,9,60,250,150,1,2,433.0,487.0,419.7,495.8,1,1036,1782742450670
2,3,mouse,9,60,250,150,6,3,592.0,336.0,608.3,337.5,1,975,1782742451645
2,3,mouse,9,60,250,150,2,4,404.0,411.0,376.9,421.7,1,1320,1782742452965
2,3,mouse,9,60,250,150,7,5,637.0,403.0,623.1,421.7,1,930,1782742453895
2,3,mouse,9,60,250,150,3,6,398.0,323.0,391.7,337.5,1,1004,1782742454899
2,3,mouse,9,60,250,150,8,7,580.0,482.0,580.3,495.8,1,1381,1782742456280
2,3,mouse,9,60,250,150,4,8,473.0,285.0,457.2,282.5,1,915,1782742457195
3,3,mouse,9,60,250,150,0,0,493.0,510.0,500.0,525.0,1,1004,1782742458199
3,3,mouse,9,60,250,150,5,1,536.0,308.0,542.8,282.5,1,1088,1782742459287
3,3,mouse,9,60,250,150,1,2,423.0,505.0,419.7,495.8,1,721,1782742460008
3,3,mouse,9,60,250,150,6,3,594.0,356.0,608.3,337.5,1,1087,1782742461095
3,3,mouse,9,60,250,150,2,4,396.0,417.0,376.9,421.7,1,787,1782742461882
3,3,mouse,9,60,250,150,7,5,602.0,418.0,623.1,421.7,1,1080,1782742462962
3,3,mouse,9,60,250,150,3,6,362.0,345.0,391.7,337.5,0,1117,1782742464079
3,3,mouse,9,60,250,150,3,6,377.0,347.0,391.7,337.5,1,1599,1782742464561
3,3,mouse,9,60,250,150,8,7,572.0,498.0,580.3,495.8,1,1312,1782742465873
3,3,mouse,9,60,250,150,4,8,460.0,258.0,457.2,282.5,1,1058,1782742466931
