iteration,pid,technique,num_targets,target_w,target_d,latency_ms,target_id,step,click_x,click_y,target_x,target_y,success,mt_ms,timestamp
1,2,mouse,9,60,250,150,0,0,508.0,520.0,500.0,525.0,1,2184,1782657956644
1,2,mouse,9,60,250,150,5,1,556.0,263.0,542.8,282.5,1,862,1782657957506
1,2,mouse,9,60,250,150,1,2,421.0,479.0,419.7,495.8,1,893,1782657958399
1,2,mouse,9,60,250,150,6,3,600.0,337.0,608.3,337.5,1,1087,1782657959486
1,2,mouse,9,60,250,150,2,4,384.0,414.0,376.9,421.7,1,781,1782657960267
1,2,mouse,9,60,250,150,7,5,634.0,417.0,623.1,421.7,1,973,1782657961240
1,2,mouse,9,60,250,150,3,6,372.0,330.0,391.7,337.5,1,842,1782657962082
1,2,mouse,9,60,250,150,8,7,582.0,496.0,580.3,495.8,1,1050,1782657963132
1,2,mouse,9,60,250,150,4,8,456.0,292.0,457.2,282.5,1,1206,1782657964338
2,2,mouse,9,60,250,150,0,0,488.0,533.0,500.0,525.0,1,908,1782657965246
2,2,mouse,9,60,250,150,5,1,556.0,257.0,542.8,282.5,1,841,1782657966087
2,2,mouse,9,60,250,150,1,2,416.0,498.0,419.7,495.8,1,969,1782657967056
2,2,mouse,9,60,250,150,6,3,619.0,331.0,608.3,337.5,1,1250,1782657968306
2,2,mouse,9,60,250,150,2,4,382.0,420.0,376.9,421.7,1,924,1782657969230
2,2,mouse,9,60,250,150,7,5,613.0,421.0,623.1,421.7,1,1027,1782657970257
2,2,mouse,9,60,250,150,3,6,389.0,341.0,391.7,337.5,1,801,1782657971058
2,2,mouse,9,60,250,150,8,7,576.0,484.0,580.3,495.8,1,969,1782657972027
2,2,mouse,9,60,250,150,4,8,466.0,285.0,457.2,282.5,1,916,1782657972943
3,2,mouse,9,60,250,150,0,0,500.0,540.0,500.0,525.0,1,832,1782657973775
3,2,mouse,9,60,250,150,5,1,551.0,269.0,542.8,282.5,1,1447,1782657975222
3,2,mouse,9,60,250,150,1,2,420.0,495.0,419.7,495.8,1,824,1782657976046
3,2,mouse,9,60,250,150,6,3,611.0,326.0,608.3,337.5,1,938,1782657976984
3,2,mouse,9,60,250,150,2,4,370.0,403.0,376.9,421.7,1,892,1782657977876
3,2,mouse,9,60,250,150,7,5,614.0,417.0,623.1,421.7,1,840,1782657978716
3,2,mouse,9,60,250,150,3,6,379.0,327.0,391.7,337.5,1,879,1782657979595
3,2,mouse,9,60,250,150,8,7,579.0,481.0,580.3,495.8,1,1093,1782657980688
3,2,mouse,9,60,250,150,4,8,460.0,295.0,457.2,282.5,1,983,1782657981671
