iteration,direction,pid,technique,tunnel_w,tunnel_a,latency_ms,start_ts,end_ts,duration_ms,violations
1,LR,2,touchpad,100,650,0,1782662469689,1782662469902,213,1
1,LR,2,touchpad,100,650,0,1782662472432,1782662472781,349,0
1,RL,2,touchpad,100,650,0,1782662473081,1782662473616,535,0
2,LR,2,touchpad,100,650,0,1782662473906,1782662474932,1026,0
2,RL,2,touchpad,100,650,0,1782662475134,1782662475642,508,0
3,LR,2,touchpad,100,650,0,1782662475904,1782662476229,325,0
3,RL,2,touchpad,100,650,0,1782662476611,1782662476874,263,0
