iteration,pid,technique,num_targets,target_w,target_d,latency_ms,target_id,step,click_x,click_y,target_x,target_y,success,mt_ms,timestamp
1,3,touchpad,9,60,550,0,0,0,491.0,663.0,500.0,675.0,1,1366,1782742697089
1,3,touchpad,9,60,550,0,5,1,586.0,157.0,594.1,141.6,1,1042,1782742698131
1,3,touchpad,9,60,550,0,1,2,343.0,601.0,323.2,610.7,1,992,1782742699123
1,3,touchpad,9,60,550,0,6,3,729.0,281.0,738.2,262.5,1,1214,1782742700337
1,3,touchpad,9,60,550,0,2,4,246.0,450.0,229.2,447.8,1,999,1782742701336
1,3,touchpad,9,60,550,0,7,5,756.0,465.0,770.8,447.8,1,907,1782742702243
1,3,touchpad,9,60,550,0,3,6,284.0,270.0,261.8,262.5,1,870,1782742703113
1,3,touchpad,9,60,550,0,8,7,669.0,618.0,676.8,610.7,1,913,1782742704026
1,3,touchpad,9,60,550,0,4,8,415.0,123.0,405.9,141.6,1,1086,1782742705112
2,3,touchpad,9,60,550,0,0,0,514.0,650.0,500.0,675.0,1,856,1782742705968
2,3,touchpad,9,60,550,0,5,1,588.0,165.0,594.1,141.6,1,1128,1782742707096
2,3,touchpad,9,60,550,0,1,2,331.0,590.0,323.2,610.7,1,934,1782742708030
2,3,touchpad,9,60,550,0,6,3,741.0,253.0,738.2,262.5,1,958,1782742708988
2,3,touchpad,9,60,550,0,2,4,241.0,455.0,229.2,447.8,1,1056,1782742710044
2,3,touchpad,9,60,550,0,7,5,779.0,440.0,770.8,447.8,1,921,1782742710965
2,3,touchpad,9,60,550,0,3,6,265.0,262.0,261.8,262.5,1,1293,1782742712258
2,3,touchpad,9,60,550,0,8,7,695.0,621.0,676.8,610.7,1,877,1782742713135
2,3,touchpad,9,60,550,0,4,8,407.0,153.0,405.9,141.6,1,985,1782742714120
3,3,touchpad,9,60,550,0,0,0,498.0,665.0,500.0,675.0,1,1299,1782742715419
3,3,touchpad,9,60,550,0,5,1,593.0,148.0,594.1,141.6,1,991,1782742716410
3,3,touchpad,9,60,550,0,1,2,329.0,607.0,323.2,610.7,1,1394,1782742717804
3,3,touchpad,9,60,550,0,6,3,751.0,245.0,738.2,262.5,1,1069,1782742718873
3,3,touchpad,9,60,550,0,2,4,230.0,450.0,229.2,447.8,1,878,1782742719751
3,3,touchpad,9,60,550,0,7,5,757.0,441.0,770.8,447.8,1,1256,1782742721007
3,3,touchpad,9,60,550,0,3,6,277.0,274.0,261.8,262.5,1,1214,1782742722221
3,3,touchpad,9,60,550,0,8,7,666.0,607.0,676.8,610.7,1,985,1782742723206
3,3,touchpad,9,60,550,0,4,8,414.0,142.0,405.9,141.6,1,1491,1782742724697
