iteration,pid,technique,num_targets,target_w,target_d,latency_ms,target_id,step,click_x,click_y,target_x,target_y,success,mt_ms,timestamp
1,1,touchpad,9,60,550,0,0,0,525.0,671.0,500.0,675.0,1,2068,1782579292200
1,1,touchpad,9,60,550,0,5,1,607.0,120.0,594.1,141.6,1,1427,1782579293627
1,1,touchpad,9,60,550,0,1,2,318.0,596.0,323.2,610.7,1,1096,1782579294723
1,1,touchpad,9,60,550,0,6,3,728.0,273.0,738.2,262.5,1,1046,1782579295769
1,1,touchpad,9,60,550,0,2,4,230.0,459.0,229.2,447.8,1,1185,1782579296954
1,1,touchpad,9,60,550,0,7,5,765.0,419.0,770.8,447.8,1,967,1782579297921
1,1,touchpad,9,60,550,0,3,6,266.0,250.0,261.8,262.5,1,1147,1782579299068
1,1,touchpad,9,60,550,0,8,7,683.0,624.0,676.8,610.7,1,1313,1782579300381
1,1,touchpad,9,60,550,0,4,8,398.0,152.0,405.9,141.6,1,1299,1782579301680
2,1,touchpad,9,60,550,0,0,0,498.0,700.0,500.0,675.0,1,1132,1782579302812
2,1,touchpad,9,60,550,0,5,1,588.0,117.0,594.1,141.6,1,1236,1782579304048
2,1,touchpad,9,60,550,0,1,2,327.0,604.0,323.2,610.7,1,1299,1782579305347
2,1,touchpad,9,60,550,0,6,3,729.0,255.0,738.2,262.5,1,1452,1782579306799
2,1,touchpad,9,60,550,0,2,4,249.0,438.0,229.2,447.8,1,1096,1782579307895
2,1,touchpad,9,60,550,0,7,5,779.0,437.0,770.8,447.8,1,1055,1782579308950
2,1,touchpad,9,60,550,0,3,6,267.0,272.0,261.8,262.5,1,1413,1782579310363
2,1,touchpad,9,60,550,0,8,7,663.0,600.0,676.8,610.7,1,815,1782579311178
2,1,touchpad,9,60,550,0,4,8,392.0,147.0,405.9,141.6,1,1615,1782579312793
3,1,touchpad,9,60,550,0,0,0,509.0,669.0,500.0,675.0,1,1222,1782579314015
3,1,touchpad,9,60,550,0,5,1,583.0,138.0,594.1,141.6,1,1438,1782579315453
3,1,touchpad,9,60,550,0,1,2,311.0,617.0,323.2,610.7,1,1412,1782579316865
3,1,touchpad,9,60,550,0,6,3,744.0,257.0,738.2,262.5,1,1439,1782579318304
3,1,touchpad,9,60,550,0,2,4,233.0,439.0,229.2,447.8,1,1158,1782579319462
3,1,touchpad,9,60,550,0,7,5,778.0,452.0,770.8,447.8,1,1224,1782579320686
3,1,touchpad,9,60,550,0,3,6,275.0,255.0,261.8,262.5,1,1336,1782579322022
3,1,touchpad,9,60,550,0,8,7,670.0,610.0,676.8,610.7,1,1284,1782579323306
3,1,touchpad,9,60,550,0,4,8,416.0,161.0,405.9,141.6,1,1287,1782579324593
