iteration,pid,technique,num_targets,target_w,target_d,latency_ms,target_id,step,click_x,click_y,target_x,target_y,success,mt_ms,timestamp
1,2,mouse,9,60,250,0,0,0,505.0,518.0,500.0,525.0,1,2237,1782657652524
1,2,mouse,9,60,250,0,5,1,553.0,284.0,542.8,282.5,1,720,1782657653244
1,2,mouse,9,60,250,0,1,2,424.0,487.0,419.7,495.8,1,654,1782657653898
1,2,mouse,9,60,250,0,6,3,623.0,335.0,608.3,337.5,1,727,1782657654625
1,2,mouse,9,60,250,0,2,4,382.0,418.0,376.9,421.7,1,540,1782657655165
1,2,mouse,9,60,250,0,7,5,622.0,427.0,623.1,421.7,1,614,1782657655779
1,2,mouse,9,60,250,0,3,6,416.0,341.0,391.7,337.5,1,750,1782657656529
1,2,mouse,9,60,250,0,8,7,584.0,500.0,580.3,495.8,1,623,1782657657152
1,2,mouse,9,60,250,0,4,8,444.0,259.0,457.2,282.5,1,614,1782657657766
2,2,mouse,9,60,250,0,0,0,498.0,519.0,500.0,525.0,1,855,1782657658621
2,2,mouse,9,60,250,0,5,1,545.0,292.0,542.8,282.5,1,662,1782657659283
2,2,mouse,9,60,250,0,1,2,425.0,492.0,419.7,495.8,1,599,1782657659882
2,2,mouse,9,60,250,0,6,3,612.0,331.0,608.3,337.5,1,644,1782657660526
2,2,mouse,9,60,250,0,2,4,394.0,415.0,376.9,421.7,1,668,1782657661194
2,2,mouse,9,60,250,0,7,5,625.0,417.0,623.1,421.7,1,555,1782657661749
2,2,mouse,9,60,250,0,3,6,386.0,322.0,391.7,337.5,1,458,1782657662207
2,2,mouse,9,60,250,0,8,7,579.0,499.0,580.3,495.8,1,540,1782657662747
2,2,mouse,9,60,250,0,4,8,462.0,268.0,457.2,282.5,1,652,1782657663399
3,2,mouse,9,60,250,0,0,0,494.0,529.0,500.0,525.0,1,585,1782657663984
3,2,mouse,9,60,250,0,5,1,542.0,289.0,542.8,282.5,1,592,1782657664576
3,2,mouse,9,60,250,0,1,2,409.0,499.0,419.7,495.8,1,586,1782657665162
3,2,mouse,9,60,250,0,6,3,601.0,356.0,608.3,337.5,1,592,1782657665754
3,2,mouse,9,60,250,0,2,4,379.0,419.0,376.9,421.7,1,577,1782657666331
3,2,mouse,9,60,250,0,7,5,635.0,419.0,623.1,421.7,1,638,1782657666969
3,2,mouse,9,60,250,0,3,6,401.0,322.0,391.7,337.5,1,480,1782657667449
3,2,mouse,9,60,250,0,8,7,587.0,489.0,580.3,495.8,1,637,1782657668086
3,2,mouse,9,60,250,0,4,8,458.0,275.0,457.2,282.5,1,668,1782657668754
