iteration,direction,pid,technique,tunnel_w,tunnel_a,latency_ms,start_ts,end_ts,duration_ms,violations
1,LR,2,mouse,60,500,150,1782657941584,1782657942695,1111,0
1,RL,2,mouse,60,500,150,1782657943187,1782657944107,920,0
2,LR,2,mouse,60,500,150,1782657944774,1782657946062,1288,0
2,RL,2,mouse,60,500,150,1782657946572,1782657947514,942,0
3,LR,2,mouse,60,500,150,1782657948035,1782657949095,1060,0
3,RL,2,mouse,60,500,150,1782657949538,1782657950481,943,0
