iteration,pid,technique,num_targets,target_w,target_d,latency_ms,target_id,step,click_x,click_y,target_x,target_y,success,mt_ms,timestamp
1,3,mouse,9,60,400,0,0,0,491.0,587.0,500.0,600.0,1,1482,1782742806454
1,3,mouse,9,60,400,0,5,1,556.0,225.0,568.4,212.1,1,818,1782742807272
1,3,mouse,9,60,400,0,1,2,375.0,532.0,371.4,553.2,1,742,1782742808014
1,3,mouse,9,60,400,0,6,3,666.0,288.0,673.2,300.0,1,826,1782742808840
1,3,mouse,9,60,400,0,2,4,290.0,451.0,303.0,434.7,1,711,1782742809551
1,3,mouse,9,60,400,0,7,5,701.0,417.0,697.0,434.7,1,736,1782742810287
1,3,mouse,9,60,400,0,3,6,345.0,301.0,326.8,300.0,1,742,1782742811029
1,3,mouse,9,60,400,0,8,7,618.0,549.0,628.6,553.2,1,893,1782742811922
1,3,mouse,9,60,400,0,4,8,445.0,205.0,431.6,212.1,1,569,1782742812491
2,3,mouse,9,60,400,0,0,0,505.0,608.0,500.0,600.0,1,788,1782742813279
2,3,mouse,9,60,400,0,5,1,573.0,201.0,568.4,212.1,1,577,1782742813856
2,3,mouse,9,60,400,0,1,2,357.0,543.0,371.4,553.2,1,661,1782742814517
2,3,mouse,9,60,400,0,6,3,667.0,311.0,673.2,300.0,1,696,1782742815213
2,3,mouse,9,60,400,0,2,4,314.0,433.0,303.0,434.7,1,542,1782742815755
2,3,mouse,9,60,400,0,7,5,709.0,414.0,697.0,434.7,1,651,1782742816406
2,3,mouse,9,60,400,0,3,6,335.0,299.0,326.8,300.0,1,705,1782742817111
2,3,mouse,9,60,400,0,8,7,640.0,584.0,628.6,553.2,0,585,1782742817696
2,3,mouse,9,60,400,0,8,7,625.0,539.0,628.6,553.2,1,1163,1782742818274
2,3,mouse,9,60,400,0,4,8,439.0,206.0,431.6,212.1,1,615,1782742818889
3,3,mouse,9,60,400,0,0,0,494.0,590.0,500.0,600.0,1,600,1782742819489
3,3,mouse,9,60,400,0,5,1,583.0,212.0,568.4,212.1,1,608,1782742820097
3,3,mouse,9,60,400,0,1,2,357.0,562.0,371.4,553.2,1,787,1782742820884
3,3,mouse,9,60,400,0,6,3,667.0,309.0,673.2,300.0,1,794,1782742821678
3,3,mouse,9,60,400,0,2,4,298.0,435.0,303.0,434.7,1,781,1782742822459
3,3,mouse,9,60,400,0,7,5,695.0,437.0,697.0,434.7,1,922,1782742823381
3,3,mouse,9,60,400,0,3,6,346.0,309.0,326.8,300.0,1,727,1782742824108
3,3,mouse,9,60,400,0,8,7,614.0,532.0,628.6,553.2,1,541,1782742824649
3,3,mouse,9,60,400,0,4,8,427.0,235.0,431.6,212.1,1,832,1782742825481
