iteration,pid,technique,num_targets,target_w,target_d,latency_ms,target_id,step,click_x,click_y,target_x,target_y,success,mt_ms,timestamp
1,2,touchpad,9,60,250,0,0,0,516.0,514.0,500.0,525.0,1,1689,1782662391660
1,2,touchpad,9,60,250,0,5,1,533.0,283.0,542.8,282.5,1,1180,1782662392840
1,2,touchpad,9,60,250,0,1,2,406.0,515.0,419.7,495.8,1,1159,1782662393999
1,2,touchpad,9,60,250,0,6,3,609.0,328.0,608.3,337.5,1,1301,1782662395300
1,2,touchpad,9,60,250,0,2,4,398.0,410.0,376.9,421.7,1,1146,1782662396446
1,2,touchpad,9,60,250,0,7,5,616.0,402.0,623.1,421.7,1,1023,1782662397469
1,2,touchpad,9,60,250,0,3,6,402.0,348.0,391.7,337.5,1,990,1782662398459
1,2,touchpad,9,60,250,0,8,7,595.0,510.0,580.3,495.8,1,1018,1782662399477
1,2,touchpad,9,60,250,0,4,8,452.0,286.0,457.2,282.5,1,939,1782662400416
2,2,touchpad,9,60,250,0,0,0,498.0,509.0,500.0,525.0,1,1124,1782662401540
2,2,touchpad,9,60,250,0,5,1,525.0,280.0,542.8,282.5,1,1138,1782662402678
2,2,touchpad,9,60,250,0,1,2,411.0,490.0,419.7,495.8,1,1095,1782662403773
2,2,touchpad,9,60,250,0,6,3,624.0,327.0,608.3,337.5,1,1052,1782662404825
2,2,touchpad,9,60,250,0,2,4,387.0,421.0,376.9,421.7,1,1082,1782662405907
2,2,touchpad,9,60,250,0,7,5,648.0,428.0,623.1,421.7,1,1224,1782662407131
2,2,touchpad,9,60,250,0,3,6,391.0,346.0,391.7,337.5,1,1192,1782662408323
2,2,touchpad,9,60,250,0,8,7,593.0,509.0,580.3,495.8,1,1005,1782662409328
2,2,touchpad,9,60,250,0,4,8,458.0,278.0,457.2,282.5,1,968,1782662410296
3,2,touchpad,9,60,250,0,0,0,507.0,511.0,500.0,525.0,1,974,1782662411270
3,2,touchpad,9,60,250,0,5,1,543.0,286.0,542.8,282.5,1,1159,1782662412429
3,2,touchpad,9,60,250,0,1,2,439.0,487.0,419.7,495.8,1,1032,1782662413461
3,2,touchpad,9,60,250,0,6,3,603.0,329.0,608.3,337.5,1,848,1782662414309
3,2,touchpad,9,60,250,0,2,4,381.0,411.0,376.9,421.7,1,1075,1782662415384
3,2,touchpad,9,60,250,0,7,5,624.0,423.0,623.1,421.7,1,1017,1782662416401
3,2,touchpad,9,60,250,0,3,6,371.0,333.0,391.7,337.5,1,1116,1782662417517
3,2,touchpad,9,60,250,0,8,7,564.0,479.0,580.3,495.8,1,1068,1782662418585
3,2,touchpad,9,60,250,0,4,8,451.0,272.0,457.2,282.5,1,1030,1782662419615
