iteration,pid,technique,num_targets,target_w,target_d,latency_ms,target_id,step,click_x,click_y,target_x,target_y,success,mt_ms,timestamp
1,4,mouse,9,90,400,150,0,0,491.0,583.0,500.0,600.0,1,1746,1782894588910
1,4,mouse,9,90,400,150,5,1,555.0,191.0,568.4,212.1,1,1257,1782894590167
1,4,mouse,9,90,400,150,1,2,388.0,537.0,371.4,553.2,1,1169,1782894591336
1,4,mouse,9,90,400,150,6,3,691.0,284.0,673.2,300.0,1,1030,1782894592366
1,4,mouse,9,90,400,150,2,4,219.0,467.0,303.0,434.7,0,1027,1782894593393
1,4,mouse,9,90,400,150,2,4,275.0,452.0,303.0,434.7,1,1454,1782894593820
1,4,mouse,9,90,400,150,7,5,698.0,422.0,697.0,434.7,1,1436,1782894595256
1,4,mouse,9,90,400,150,3,6,309.0,317.0,326.8,300.0,1,1114,1782894596370
1,4,mouse,9,90,400,150,8,7,656.0,529.0,628.6,553.2,1,1065,1782894597435
1,4,mouse,9,90,400,150,4,8,398.0,187.0,431.6,212.1,1,1056,1782894598491
2,4,mouse,9,90,400,150,0,0,506.0,594.0,500.0,600.0,1,1162,1782894599653
2,4,mouse,9,90,400,150,5,1,561.0,201.0,568.4,212.1,1,1021,1782894600674
2,4,mouse,9,90,400,150,1,2,357.0,543.0,371.4,553.2,1,1024,1782894601698
2,4,mouse,9,90,400,150,6,3,688.0,283.0,673.2,300.0,1,943,1782894602641
2,4,mouse,9,90,400,150,2,4,235.0,446.0,303.0,434.7,0,1015,1782894603656
2,4,mouse,9,90,400,150,2,4,278.0,436.0,303.0,434.7,1,1419,1782894604060
2,4,mouse,9,90,400,150,7,5,743.0,431.0,697.0,434.7,0,972,1782894605032
2,4,mouse,9,90,400,150,7,5,718.0,428.0,697.0,434.7,1,1485,1782894605545
2,4,mouse,9,90,400,150,3,6,335.0,304.0,326.8,300.0,1,1263,1782894606808
2,4,mouse,9,90,400,150,8,7,650.0,537.0,628.6,553.2,1,1241,1782894608049
2,4,mouse,9,90,400,150,4,8,419.0,191.0,431.6,212.1,1,1255,1782894609304
3,4,mouse,9,90,400,150,0,0,505.0,578.0,500.0,600.0,1,1203,1782894610507
3,4,mouse,9,90,400,150,5,1,540.0,213.0,568.4,212.1,1,1098,1782894611605
3,4,mouse,9,90,400,150,1,2,386.0,547.0,371.4,553.2,1,1078,1782894612683
3,4,mouse,9,90,400,150,6,3,665.0,307.0,673.2,300.0,1,942,1782894613625
3,4,mouse,9,90,400,150,2,4,295.0,446.0,303.0,434.7,1,992,1782894614617
3,4,mouse,9,90,400,150,7,5,722.0,433.0,697.0,434.7,1,939,1782894615556
3,4,mouse,9,90,400,150,3,6,322.0,300.0,326.8,300.0,1,1154,1782894616710
3,4,mouse,9,90,400,150,8,7,639.0,541.0,628.6,553.2,1,1124,1782894617834
3,4,mouse,9,90,400,150,4,8,412.0,218.0,431.6,212.1,1,1094,1782894618928
