iteration,pid,technique,num_targets,target_w,target_d,latency_ms,target_id,step,click_x,click_y,target_x,target_y,success,mt_ms,timestamp
1,3,pose,9,60,250,0,0,0,482.0,511.0,500.0,525.0,1,1975,1782743275150
1,3,pose,9,60,250,0,5,1,558.0,301.0,542.8,282.5,1,1268,1782743276418
1,3,pose,9,60,250,0,1,2,412.0,513.0,419.7,495.8,1,2055,1782743278473
1,3,pose,9,60,250,0,6,3,578.0,342.0,608.3,337.5,0,1087,1782743279560
1,3,pose,9,60,250,0,6,3,624.0,327.0,608.3,337.5,1,2044,1782743280517
1,3,pose,9,60,250,0,2,4,381.0,410.0,376.9,421.7,1,1604,1782743282121
1,3,pose,9,60,250,0,7,5,605.0,423.0,623.1,421.7,1,1255,1782743283376
1,3,pose,9,60,250,0,3,6,401.0,349.0,391.7,337.5,1,1384,1782743284760
1,3,pose,9,60,250,0,8,7,598.0,511.0,580.3,495.8,1,1825,1782743286585
1,3,pose,9,60,250,0,4,8,468.0,305.0,457.2,282.5,1,1473,1782743288058
2,3,pose,9,60,250,0,0,0,492.0,518.0,500.0,525.0,1,1129,1782743289187
2,3,pose,9,60,250,0,5,1,543.0,293.0,542.8,282.5,1,1387,1782743290574
2,3,pose,9,60,250,0,1,2,417.0,504.0,419.7,495.8,1,1343,1782743291917
2,3,pose,9,60,250,0,6,3,640.0,343.0,608.3,337.5,0,1311,1782743293228
2,3,pose,9,60,250,0,6,3,610.0,356.0,608.3,337.5,1,3070,1782743294987
2,3,pose,9,60,250,0,2,4,386.0,426.0,376.9,421.7,1,1869,1782743296856
2,3,pose,9,60,250,0,7,5,605.0,412.0,623.1,421.7,1,1243,1782743298099
2,3,pose,9,60,250,0,3,6,401.0,341.0,391.7,337.5,1,1392,1782743299491
2,3,pose,9,60,250,0,8,7,553.0,498.0,580.3,495.8,1,1342,1782743300833
2,3,pose,9,60,250,0,4,8,468.0,295.0,457.2,282.5,1,1775,1782743302608
3,3,pose,9,60,250,0,0,0,471.0,524.0,500.0,525.0,1,1161,1782743303769
3,3,pose,9,60,250,0,5,1,557.0,294.0,542.8,282.5,1,1506,1782743305275
3,3,pose,9,60,250,0,1,2,426.0,484.0,419.7,495.8,1,1734,1782743307009
3,3,pose,9,60,250,0,6,3,590.0,347.0,608.3,337.5,1,1792,1782743308801
3,3,pose,9,60,250,0,2,4,384.0,417.0,376.9,421.7,1,1962,1782743310763
3,3,pose,9,60,250,0,7,5,617.0,422.0,623.1,421.7,1,1110,1782743311873
3,3,pose,9,60,250,0,3,6,411.0,342.0,391.7,337.5,1,1229,1782743313102
3,3,pose,9,60,250,0,8,7,581.0,490.0,580.3,495.8,1,1494,1782743314596
3,3,pose,9,60,250,0,4,8,469.0,283.0,457.2,282.5,1,1355,1782743315951
