iteration,pid,technique,num_targets,target_w,target_d,latency_ms,target_id,step,click_x,click_y,target_x,target_y,success,mt_ms,timestamp
1,2,mouse,9,90,400,0,0,0,512.0,595.0,500.0,600.0,1,1388,1782657723107
1,2,mouse,9,90,400,0,5,1,588.0,198.0,568.4,212.1,1,577,1782657723684
1,2,mouse,9,90,400,0,1,2,389.0,555.0,371.4,553.2,1,511,1782657724195
1,2,mouse,9,90,400,0,6,3,674.0,290.0,673.2,300.0,1,525,1782657724720
1,2,mouse,9,90,400,0,2,4,303.0,417.0,303.0,434.7,1,495,1782657725215
1,2,mouse,9,90,400,0,7,5,683.0,433.0,697.0,434.7,1,487,1782657725702
1,2,mouse,9,90,400,0,3,6,329.0,286.0,326.8,300.0,1,503,1782657726205
1,2,mouse,9,90,400,0,8,7,658.0,542.0,628.6,553.2,1,614,1782657726819
1,2,mouse,9,90,400,0,4,8,448.0,214.0,431.6,212.1,1,713,1782657727532
2,2,mouse,9,90,400,0,0,0,508.0,584.0,500.0,600.0,1,570,1782657728102
2,2,mouse,9,90,400,0,5,1,550.0,180.0,568.4,212.1,1,585,1782657728687
2,2,mouse,9,90,400,0,1,2,376.0,577.0,371.4,553.2,1,510,1782657729197
2,2,mouse,9,90,400,0,6,3,667.0,276.0,673.2,300.0,1,555,1782657729752
2,2,mouse,9,90,400,0,2,4,319.0,426.0,303.0,434.7,1,548,1782657730300
2,2,mouse,9,90,400,0,7,5,688.0,431.0,697.0,434.7,1,629,1782657730929
2,2,mouse,9,90,400,0,3,6,343.0,308.0,326.8,300.0,1,623,1782657731552
2,2,mouse,9,90,400,0,8,7,639.0,572.0,628.6,553.2,1,533,1782657732085
2,2,mouse,9,90,400,0,4,8,430.0,225.0,431.6,212.1,1,630,1782657732715
3,2,mouse,9,90,400,0,0,0,497.0,599.0,500.0,600.0,1,577,1782657733292
3,2,mouse,9,90,400,0,5,1,556.0,206.0,568.4,212.1,1,608,1782657733900
3,2,mouse,9,90,400,0,1,2,385.0,561.0,371.4,553.2,1,554,1782657734454
3,2,mouse,9,90,400,0,6,3,659.0,313.0,673.2,300.0,1,691,1782657735145
3,2,mouse,9,90,400,0,2,4,283.0,415.0,303.0,434.7,1,540,1782657735685
3,2,mouse,9,90,400,0,7,5,711.0,424.0,697.0,434.7,1,615,1782657736300
3,2,mouse,9,90,400,0,3,6,346.0,312.0,326.8,300.0,1,547,1782657736847
3,2,mouse,9,90,400,0,8,7,627.0,546.0,628.6,553.2,1,563,1782657737410
3,2,mouse,9,90,400,0,4,8,427.0,212.0,431.6,212.1,1,555,1782657737965
