iteration,pid,technique,num_targets,target_w,target_d,latency_ms,target_id,step,click_x,click_y,target_x,target_y,success,mt_ms,timestamp
1,1,mouse,9,60,250,0,0,0,495.0,533.0,500.0,525.0,1,1451,1782579027430
1,1,mouse,9,60,250,0,5,1,548.0,281.0,542.8,282.5,1,650,1782579028080
1,1,mouse,9,60,250,0,1,2,422.0,484.0,419.7,495.8,1,643,1782579028723
1,1,mouse,9,60,250,0,6,3,615.0,313.0,608.3,337.5,1,579,1782579029302
1,1,mouse,9,60,250,0,2,4,370.0,423.0,376.9,421.7,1,666,1782579029968
1,1,mouse,9,60,250,0,7,5,634.0,415.0,623.1,421.7,1,688,1782579030656
1,1,mouse,9,60,250,0,3,6,389.0,327.0,391.7,337.5,1,595,1782579031251
1,1,mouse,9,60,250,0,8,7,573.0,493.0,580.3,495.8,1,550,1782579031801
1,1,mouse,9,60,250,0,4,8,454.0,270.0,457.2,282.5,1,568,1782579032369
2,1,mouse,9,60,250,0,0,0,507.0,515.0,500.0,525.0,1,501,1782579032870
2,1,mouse,9,60,250,0,5,1,540.0,274.0,542.8,282.5,1,536,1782579033406
2,1,mouse,9,60,250,0,1,2,431.0,499.0,419.7,495.8,1,679,1782579034085
2,1,mouse,9,60,250,0,6,3,602.0,333.0,608.3,337.5,1,501,1782579034586
2,1,mouse,9,60,250,0,2,4,370.0,432.0,376.9,421.7,1,706,1782579035292
2,1,mouse,9,60,250,0,7,5,637.0,418.0,623.1,421.7,1,641,1782579035933
2,1,mouse,9,60,250,0,3,6,393.0,325.0,391.7,337.5,1,578,1782579036511
2,1,mouse,9,60,250,0,8,7,577.0,500.0,580.3,495.8,1,548,1782579037059
2,1,mouse,9,60,250,0,4,8,463.0,282.0,457.2,282.5,1,550,1782579037609
3,1,mouse,9,60,250,0,0,0,500.0,510.0,500.0,525.0,1,564,1782579038173
3,1,mouse,9,60,250,0,5,1,536.0,273.0,542.8,282.5,1,568,1782579038741
3,1,mouse,9,60,250,0,1,2,402.0,510.0,419.7,495.8,1,565,1782579039306
3,1,mouse,9,60,250,0,6,3,596.0,335.0,608.3,337.5,1,645,1782579039951
3,1,mouse,9,60,250,0,2,4,369.0,427.0,376.9,421.7,1,519,1782579040470
3,1,mouse,9,60,250,0,7,5,628.0,412.0,623.1,421.7,1,699,1782579041169
3,1,mouse,9,60,250,0,3,6,365.0,335.0,391.7,337.5,1,613,1782579041782
3,1,mouse,9,60,250,0,8,7,585.0,500.0,580.3,495.8,1,570,1782579042352
3,1,mouse,9,60,250,0,4,8,474.0,287.0,457.2,282.5,1,547,1782579042899
